STT,C1,C2,D,H,C/D,H/D
5,375,392,2065,1307,0.18159806295399517,0.6329297820823244
6,376,393,2065,1307,0.1820823244552058,0.6329297820823244
7,380,392,2065,1307,0.18401937046004843,0.6329297820823244
8,380,392,2065,1307,0.18401937046004843,0.6329297820823244
9,375,395,2065,1307,0.18159806295399517,0.6329297820823244
10,379,396,2065,1307,0.18353510895883776,0.6329297820823244
11,376,393,2065,1307,0.1820823244552058,0.6329297820823244
12,375,395,2065,1307,0.18159806295399517,0.6329297820823244
13,375,395,2065,1307,0.18159806295399517,0.6329297820823244
14,375,395,2065,1307,0.18159806295399517,0.6329297820823244
15,376,397,2065,1307,0.1820823244552058,0.6329297820823244
16,376,397,2065,1307,0.1820823244552058,0.6329297820823244
17,375,397,2065,1307,0.18159806295399517,0.6329297820823244
18,375,395,2065,1307,0.18159806295399517,0.6329297820823244
19,374,395,2065,1307,0.1811138014527845,0.6329297820823244
20,379,395,2065,1307,0.18353510895883776,0.6329297820823244
21,376,395,2065,1307,0.1820823244552058,0.6329297820823244
22,373,399,2065,1307,0.18062953995157385,0.6329297820823244
23,375,393,2065,1307,0.18159806295399517,0.6329297820823244
24,375,400,2065,1307,0.18159806295399517,0.6329297820823244
25,375,396,2065,1307,0.18159806295399517,0.6329297820823244
26,375,396,2065,1307,0.18159806295399517,0.6329297820823244
27,379,396,2065,1307,0.18353510895883776,0.6329297820823244
28,375,396,2065,1307,0.18159806295399517,0.6329297820823244
29,374,394,2065,1307,0.1811138014527845,0.6329297820823244
30,376,397,2065,1307,0.1820823244552058,0.6329297820823244
31,379,392,2065,1307,0.18353510895883776,0.6329297820823244
32,380,396,2065,1307,0.18401937046004843,0.6329297820823244
33,375,392,2065,1307,0.18159806295399517,0.6329297820823244
34,375,392,2065,1307,0.18159806295399517,0.6329297820823244
35,379,394,2065,1307,0.18353510895883776,0.6329297820823244
36,376,395,2065,1307,0.1820823244552058,0.6329297820823244
37,375,398,2065,1307,0.18159806295399517,0.6329297820823244
38,378,392,2065,1307,0.18305084745762712,0.6329297820823244
39,375,393,2065,1307,0.18159806295399517,0.6329297820823244
40,375,397,2065,1307,0.18159806295399517,0.6329297820823244
41,375,398,2065,1307,0.18159806295399517,0.6329297820823244
