STT,C1,C2,D,H,C/D,H/D
34,378,397,2065,1307,0.18305084745762712,0.6329297820823244
35,379,397,2065,1307,0.18353510895883776,0.6329297820823244
36,375,395,2065,1307,0.18159806295399517,0.6329297820823244
37,376,395,2065,1307,0.1820823244552058,0.6329297820823244
38,379,392,2065,1307,0.18353510895883776,0.6329297820823244
39,375,396,2065,1307,0.18159806295399517,0.6329297820823244
40,376,395,2065,1307,0.1820823244552058,0.6329297820823244
41,376,396,2065,1307,0.1820823244552058,0.6329297820823244
42,377,392,2065,1307,0.18256658595641648,0.6329297820823244
43,373,399,2065,1307,0.18062953995157385,0.6329297820823244
44,379,392,2065,1307,0.18353510895883776,0.6329297820823244
45,375,394,2065,1307,0.18159806295399517,0.6329297820823244
46,376,395,2065,1307,0.1820823244552058,0.6329297820823244
47,375,399,2065,1307,0.18159806295399517,0.6329297820823244
48,375,395,2065,1307,0.18159806295399517,0.6329297820823244
49,370,395,2065,1307,0.1791767554479419,0.6329297820823244
Next checktime
0,375,395,2065,1307,0.18159806295399517,0.6329297820823244
1,374,395,2065,1307,0.1811138014527845,0.6329297820823244
2,375,393,2065,1307,0.18159806295399517,0.6329297820823244
3,375,395,2065,1307,0.18159806295399517,0.6329297820823244
4,375,395,2065,1307,0.18159806295399517,0.6329297820823244
5,379,394,2065,1307,0.18353510895883776,0.6329297820823244
6,375,395,2065,1307,0.18159806295399517,0.6329297820823244
7,380,394,2065,1307,0.18401937046004843,0.6329297820823244
8,378,392,2065,1307,0.18305084745762712,0.6329297820823244
9,382,395,2065,1307,0.18498789346246974,0.6329297820823244
10,375,395,2065,1307,0.18159806295399517,0.6329297820823244
11,376,395,2065,1307,0.1820823244552058,0.6329297820823244
12,375,395,2065,1307,0.18159806295399517,0.6329297820823244
