STT,C1,C2,D,H,C1/D,C2/D,H/D
42,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
43,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
44,379,398,2061,1306,0.1838913148956817,0.193110140708394,0.633672974284328
45,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
46,376,399,2061,1307,0.1824357108199903,0.19359534206695778,0.6341581756428918
47,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
48,374,398,2060,1306,0.18155339805825244,0.19320388349514564,0.6339805825242718
49,374,398,2060,1306,0.18155339805825244,0.19320388349514564,0.6339805825242718
Checkpoint {number_check} completed.
0,375,399,2060,1306,0.1820388349514563,0.19368932038834952,0.6339805825242718
1,374,392,2060,1307,0.18155339805825244,0.19029126213592232,0.6344660194174757
2,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
3,379,399,2060,1307,0.18398058252427185,0.19368932038834952,0.6344660194174757
4,379,398,2060,1307,0.18398058252427185,0.19320388349514564,0.6344660194174757
5,378,398,2060,1307,0.18349514563106797,0.19320388349514564,0.6344660194174757
6,378,398,2060,1307,0.18349514563106797,0.19320388349514564,0.6344660194174757
7,374,400,2060,1307,0.18155339805825244,0.1941747572815534,0.6344660194174757
8,375,399,2061,1307,0.1819505094614265,0.19359534206695778,0.6341581756428918
9,372,398,2060,1307,0.18058252427184465,0.19320388349514564,0.6344660194174757
10,374,399,2060,1307,0.18155339805825244,0.19368932038834952,0.6344660194174757
11,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
12,378,398,2060,1307,0.18349514563106797,0.19320388349514564,0.6344660194174757
13,374,401,2060,1307,0.18155339805825244,0.19466019417475727,0.6344660194174757
14,378,398,2060,1307,0.18349514563106797,0.19320388349514564,0.6344660194174757
15,373,392,2060,1307,0.18106796116504853,0.19029126213592232,0.6344660194174757
16,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
17,379,398,2060,1307,0.18398058252427185,0.19320388349514564,0.6344660194174757
18,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
19,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
20,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
21,379,398,2060,1306,0.18398058252427185,0.19320388349514564,0.6339805825242718
22,381,398,2060,1306,0.1849514563106796,0.19320388349514564,0.6339805825242718
23,374,398,2061,1307,0.18146530810286268,0.193110140708394,0.6341581756428918
24,374,398,2061,1307,0.18146530810286268,0.193110140708394,0.6341581756428918
25,381,398,2061,1307,0.1848617176128093,0.193110140708394,0.6341581756428918
26,375,398,2060,1307,0.1820388349514563,0.19320388349514564,0.6344660194174757
27,375,398,2060,1307,0.1820388349514563,0.19320388349514564,0.6344660194174757
28,375,398,2060,1307,0.1820388349514563,0.19320388349514564,0.6344660194174757
29,374,398,2060,1306,0.18155339805825244,0.19320388349514564,0.6339805825242718
30,375,398,2060,1307,0.1820388349514563,0.19320388349514564,0.6344660194174757
31,375,398,2060,1307,0.1820388349514563,0.19320388349514564,0.6344660194174757
32,374,401,2060,1307,0.18155339805825244,0.19466019417475727,0.6344660194174757
33,379,398,2060,1307,0.18398058252427185,0.19320388349514564,0.6344660194174757
34,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
35,372,399,2060,1306,0.18058252427184465,0.19368932038834952,0.6339805825242718
36,375,401,2060,1307,0.1820388349514563,0.19466019417475727,0.6344660194174757
37,377,396,2060,1307,0.18300970873786407,0.19223300970873786,0.6344660194174757
38,374,400,2060,1307,0.18155339805825244,0.1941747572815534,0.6344660194174757
39,379,398,2061,1306,0.1838913148956817,0.193110140708394,0.633672974284328
40,381,398,2060,1307,0.1849514563106796,0.19320388349514564,0.6344660194174757
41,379,397,2060,1307,0.18398058252427185,0.19271844660194173,0.6344660194174757
42,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
43,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
44,379,398,2060,1306,0.18398058252427185,0.19320388349514564,0.6339805825242718
45,375,398,2060,1307,0.1820388349514563,0.19320388349514564,0.6344660194174757
46,374,400,2060,1307,0.18155339805825244,0.1941747572815534,0.6344660194174757
47,380,399,2060,1307,0.18446601941747573,0.19368932038834952,0.6344660194174757
48,378,398,2061,1307,0.18340611353711792,0.193110140708394,0.6341581756428918
49,374,400,2060,1307,0.18155339805825244,0.1941747572815534,0.6344660194174757
Checkpoint {number_check} completed.
0,374,400,2060,1307,0.18155339805825244,0.1941747572815534,0.6344660194174757
1,375,398,2060,1307,0.1820388349514563,0.19320388349514564,0.6344660194174757
2,381,399,2060,1307,0.1849514563106796,0.19368932038834952,0.6344660194174757
3,381,398,2060,1306,0.1849514563106796,0.19320388349514564,0.6339805825242718
4,374,399,2060,1307,0.18155339805825244,0.19368932038834952,0.6344660194174757
5,379,398,2061,1307,0.1838913148956817,0.193110140708394,0.6341581756428918
6,381,399,2060,1307,0.1849514563106796,0.19368932038834952,0.6344660194174757
7,381,399,2060,1307,0.1849514563106796,0.19368932038834952,0.6344660194174757
8,374,400,2060,1307,0.18155339805825244,0.1941747572815534,0.6344660194174757
9,375,403,2060,1307,0.1820388349514563,0.19563106796116506,0.6344660194174757
10,380,398,2060,1307,0.18446601941747573,0.19320388349514564,0.6344660194174757
11,380,404,2060,1307,0.18446601941747573,0.19611650485436893,0.6344660194174757
12,375,396,2060,1307,0.1820388349514563,0.19223300970873786,0.6344660194174757
13,375,396,2060,1307,0.1820388349514563,0.19223300970873786,0.6344660194174757
14,378,398,2060,1306,0.18349514563106797,0.19320388349514564,0.6339805825242718
15,374,399,2060,1306,0.18155339805825244,0.19368932038834952,0.6339805825242718
16,380,401,2060,1307,0.18446601941747573,0.19466019417475727,0.6344660194174757
17,378,398,2061,1307,0.18340611353711792,0.193110140708394,0.6341581756428918
18,378,398,2060,1307,0.18349514563106797,0.19320388349514564,0.6344660194174757
19,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
20,372,399,2060,1307,0.18058252427184465,0.19368932038834952,0.6344660194174757
21,372,399,2060,1307,0.18058252427184465,0.19368932038834952,0.6344660194174757
22,380,398,2060,1307,0.18446601941747573,0.19320388349514564,0.6344660194174757
23,374,399,2060,1307,0.18155339805825244,0.19368932038834952,0.6344660194174757
24,369,399,2060,1307,0.17912621359223302,0.19368932038834952,0.6344660194174757
25,372,399,2060,1307,0.18058252427184465,0.19368932038834952,0.6344660194174757
26,374,399,2060,1307,0.18155339805825244,0.19368932038834952,0.6344660194174757
27,375,400,2060,1306,0.1820388349514563,0.1941747572815534,0.6339805825242718
28,380,398,2060,1307,0.18446601941747573,0.19320388349514564,0.6344660194174757
29,375,399,2060,1306,0.1820388349514563,0.19368932038834952,0.6339805825242718
30,375,398,2060,1307,0.1820388349514563,0.19320388349514564,0.6344660194174757
31,375,393,2060,1307,0.1820388349514563,0.19077669902912622,0.6344660194174757
32,375,398,2060,1306,0.1820388349514563,0.19320388349514564,0.6339805825242718
33,375,398,2061,1307,0.1819505094614265,0.193110140708394,0.6341581756428918
34,374,399,2061,1306,0.18146530810286268,0.19359534206695778,0.633672974284328
35,376,399,2060,1307,0.1825242718446602,0.19368932038834952,0.6344660194174757
36,378,398,2060,1307,0.18349514563106797,0.19320388349514564,0.6344660194174757
37,375,399,2060,1306,0.1820388349514563,0.19368932038834952,0.6339805825242718
38,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
