14-05-20-03-04-26
Time,C,D,H,C/D,H/D
15-05-08-03-04-26,318.0,1342.0,1024.0,23.69597615499255,76.30402384500745
15-05-17-03-04-26,266.0,1354.0,909.0,19.64549483013294,67.13441654357459
15-05-25-03-04-26,267.0,1326.0,890.0,20.13574660633484,67.11915535444946
15-05-33-03-04-26,273.0,1322.0,895.0,20.650529500756427,67.70045385779122
15-05-42-03-04-26,259.0,1353.0,894.0,19.142645971914266,66.07538802660754
15-05-50-03-04-26,268.0,1318.0,889.0,20.333839150227618,67.45068285280729
15-05-59-03-04-26,272.0,1339.0,907.0,20.313666915608664,67.73711725168036
15-06-07-03-04-26,283.0,1347.0,913.0,21.00965107646622,67.78025241276912
15-06-16-03-04-26,272.0,1305.0,878.0,20.842911877394634,67.27969348659005
15-06-24-03-04-26,276.0,1347.0,904.0,20.489977728285076,67.11210096510764
15-06-32-03-04-26,260.0,1345.0,939.0,19.33085501858736,69.81412639405204
15-06-41-03-04-26,268.0,1315.0,873.0,20.380228136882128,66.38783269961978
15-06-49-03-04-26,257.0,1326.0,879.0,19.3815987933635,66.289592760181
15-06-57-03-04-26,261.0,1340.0,880.0,19.47761194029851,65.67164179104478
15-07-06-03-04-26,284.0,1348.0,914.0,21.068249258160236,67.80415430267063
15-07-14-03-04-26,261.0,1354.0,917.0,19.27621861152142,67.72525849335302
15-07-23-03-04-26,263.0,1320.0,874.0,19.924242424242426,66.21212121212122
15-07-31-03-04-26,262.0,1332.0,866.0,19.66966966966967,65.01501501501501
15-07-39-03-04-26,285.0,1337.0,891.0,21.31637995512341,66.64173522812267
15-07-48-03-04-26,247.0,1322.0,889.0,18.683812405446293,67.24659606656581
15-07-58-03-04-26,278.0,1365.0,914.0,20.366300366300365,66.95970695970695
15-08-07-03-04-26,263.0,1334.0,884.0,19.715142428785608,66.26686656671664
15-08-15-03-04-26,270.0,1338.0,902.0,20.179372197309416,67.41405082212258
15-08-23-03-04-26,308.0,1340.0,962.0,22.98507462686567,71.7910447761194
15-08-31-03-04-26,290.0,1346.0,925.0,21.545319465081725,68.7221396731055
15-08-39-03-04-26,256.0,1312.0,891.0,19.51219512195122,67.91158536585365
15-08-48-03-04-26,280.0,1343.0,904.0,20.84884586746091,67.31198808637379
15-09-10-03-04-26,265.0,1324.0,895.0,20.01510574018127,67.59818731117825
15-09-28-03-04-26,274.0,1362.0,910.0,20.11747430249633,66.81350954478708
15-13-27-03-04-26,288.0,1362.0,915.0,21.145374449339208,67.18061674008811
15-13-36-03-04-26,298.0,1336.0,902.0,22.305389221556887,67.51497005988024
15-13-45-03-04-26,272.0,1340.0,888.0,20.298507462686565,66.26865671641791
15-13-53-03-04-26,291.0,1336.0,927.0,21.781437125748504,69.38622754491018
15-14-01-03-04-26,285.0,1340.0,912.0,21.26865671641791,68.05970149253731
15-14-10-03-04-26,248.0,1317.0,864.0,18.83067577828398,65.60364464692483
15-14-19-03-04-26,282.0,1319.0,904.0,21.37983320697498,68.53677028051554
15-14-28-03-04-26,286.0,1351.0,930.0,21.169504071058476,68.8378978534419
15-14-36-03-04-26,251.0,1345.0,933.0,18.66171003717472,69.36802973977694
15-14-45-03-04-26,274.0,1360.0,886.0,20.147058823529413,65.14705882352942
15-14-54-03-04-26,293.0,1324.0,928.0,22.129909365558913,70.09063444108762
15-15-03-03-04-26,279.0,1307.0,920.0,21.346595256312163,70.3902065799541
15-15-11-03-04-26,255.0,1332.0,908.0,19.144144144144143,68.16816816816817
15-15-29-03-04-26,280.0,1350.0,896.0,20.74074074074074,66.37037037037037
15-15-38-03-04-26,249.0,1352.0,904.0,18.41715976331361,66.86390532544378
15-15-47-03-04-26,261.0,1313.0,892.0,19.87814166031988,67.93602437166794
15-15-57-03-04-26,280.0,1350.0,920.0,20.74074074074074,68.14814814814815
15-16-05-03-04-26,305.0,1365.0,927.0,22.344322344322347,67.91208791208791
